Altium Designer Pick and Place Locations
D:\Chicago\AltiumFiles\Modem\ProjectOutputsModem\Pick Place for HOL-Modem.csv

========================================================================================================================
File Design Information:

Date:       13/07/17
Time:       10:45
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C8","15 pf","BottomLayer","CAP0402","1290.000","660.000","270","CAPACITOR, American symbol"
"C7","56 pf","BottomLayer","CAP0402","1250.000","660.000","270","CAPACITOR, American symbol"
"C5","10 nF","BottomLayer","CAP0402","1210.000","660.000","270","CAPACITOR, American symbol"
"L1","0 ohm","BottomLayer","RES0603","1680.000","530.000","180","Resistor, 0 ohm, 0603 case"
"D5","","BottomLayer","PESD_0402","1643.000","416.000","90","DIODE,ZENER VOLTAGE SUPPRESSOR,+/-14V"
"D4","","TopLayer","PESD_0402","1302.000","373.000","180","DIODE,ZENER VOLTAGE SUPPRESSOR,+/-14V"
"D3","","TopLayer","PESD_0402","1302.000","519.000","180","DIODE,ZENER VOLTAGE SUPPRESSOR,+/-14V"
"R6","10K","BottomLayer","RES0402","1060.000","120.000","90","Resistor, 10k ohm, 0402"
"R5","3k","TopLayer","RES0402","111.000","108.000","90","Resistor, 3K ohm, 0402 case, 1%"
"R4","10K","BottomLayer","RES0402","980.000","580.000","360","Resistor, 10k ohm, 0402"
"R3","3k","TopLayer","RES0402","101.000","637.000","270","Resistor, 3K ohm, 0402 case, 1%"
"Q2","","BottomLayer","SOT23","1166.500","107.000","270","TSTR,NPN 3904, SOT23"
"Q1","","BottomLayer","SOT23","1100.000","660.000","270","TSTR,NPN 3904, SOT23"
"D2","LED_0402_VLMS","TopLayer","LED_0402_VISHAY_VLMS","65.000","110.000","90","LED, Vishay Red 0402"
"D1","LED_0402_VLMB","TopLayer","LED_0402_VISHAY_VLMB","55.000","637.000","270","LED, Vishay Blue 0402"
"R2","22","TopLayer","RES0402","1302.000","466.000","180","Resistor, 22 ohm, 0402 case, 1%"
"R1","22","TopLayer","RES0402","1302.000","425.000","180","Resistor, 22 ohm, 0402 case, 1%"
"U2","TPS63020","BottomLayer","QFN-14-POWERPAD3X4DSJ","1436.630","460.370","90","Regulator, Boost Buck, 3A"
"R51","100K","BottomLayer","RES0402","840.000","120.000","180","Resistor, 100k ohm, 0402"
"L7","FerriteBead 120ohm, 3A","BottomLayer","RES0603","754.000","655.000","90",""
"C48","0.1 uF","BottomLayer","CAP0402","1558.000","430.000","360","CAPACITOR, American symbol"
